326,1682,728,1673,730,1721,327,1731
331,307,542,292,546,339,334,354
2202,4023,2468,4022,2468,4075,2203,4076
2168,3014,2240,3017,2226,3285,2154,3281
1988,3340,2045,3342,2028,3727,1971,3724
1561,4042,1959,4047,1958,4114,1560,4110
1065,2922,1212,2919,1213,2998,1067,3001
1491,2366,1549,2370,1520,2805,1462,2802
1957,4036,2191,4033,2191,4090,1958,4092
1541,337,1579,336,1583,535,1545,535
393,2096,570,2094,570,2137,394,2139
91,3751,238,3757,236,3809,89,3803
951,1199,1135,1201,1135,1246,951,1244
798,3289,986,3285,987,3338,800,3343
1292,3571,1444,3567,1445,3611,1293,3615
1905,73,1953,75,1937,397,1889,395
237,2024,426,2018,428,2078,240,2084
300,993,519,971,524,1019,305,1040
863,1708,910,1709,901,2141,854,2140
1598,1068,1648,1069,1639,1516,1589,1515
179,3687,288,3688,288,3744,178,3743
238,2506,500,2505,500,2560,238,2561
602,1114,648,1116,638,1408,592,1407
232,2961,398,2965,397,3011,230,3007
1583,3227,1629,3228,1624,3447,1578,3446
2491,90,2530,89,2542,364,2503,366
2205,2631,2246,2631,2250,2830,2210,2831
854,2051,915,2052,911,2595,851,2595
1275,46,1355,44,1356,93,1276,95
1067,3208,1218,3204,1219,3253,1068,3258
2221,245,2410,241,2411,293,2222,297
471,234,606,228,608,266,473,272
367,2170,499,2168,500,2226,368,2228
1349,4054,1560,4061,1558,4135,1347,4128
620,1459,766,1456,767,1494,621,1498
2799,4013,2861,4013,2860,4063,2799,4062
379,2589,510,2586,511,2623,380,2626
234,2584,360,2583,360,2625,234,2626
2618,2731,2663,2730,2672,3147,2627,3147
949,3647,1120,3646,1120,3691,950,3693
1082,3447,1214,3446,1215,3504,1083,3505
1387,34,1476,35,1476,89,1387,88
376,1476,525,1468,528,1519,379,1528
521,813,562,811,575,1112,534,1114
1000,506,1039,510,983,977,943,973
359,1537,578,1520,582,1572,363,1588
387,3044,489,3051,486,3094,384,3087
527,1839,675,1836,677,1892,528,1895
1693,3006,1837,3002,1840,3080,1696,3085
180,3260,325,3259,325,3315,180,3316
346,930,452,921,456,959,350,969
506,2591,606,2589,607,2628,507,2630
1068,2838,1192,2833,1195,2903,1071,2908
1015,1369,1073,1368,1078,1644,1019,1645
493,2978,621,2976,622,3020,494,3022
2421,2062,2465,2064,2450,2415,2406,2413
2546,2293,2614,2294,2611,2474,2543,2473
1706,2656,1757,2660,1733,3031,1682,3028
1173,471,1219,470,1226,741,1179,742
2468,3267,2557,3269,2556,3307,2467,3305
2581,3341,2633,3343,2618,3675,2566,3673
1574,1962,1627,1963,1623,2149,1570,2147
1395,3723,1511,3719,1513,3765,1397,3769
1081,2563,1197,2560,1200,2650,1084,2654
1572,594,1637,593,1647,1058,1582,1059
1709,2222,1847,2219,1847,2254,1709,2257
376,248,461,238,467,280,381,290
1569,2496,1613,2495,1619,2702,1575,2704
1899,1674,1967,1672,1973,1947,1905,1949
2090,1532,2132,1534,2123,1688,2080,1686
1550,3715,1615,3713,1617,3767,1551,3769
2206,2035,2265,2036,2265,2076,2206,2075
1270,2507,1364,2505,1365,2560,1272,2563
339,3273,413,3274,413,3319,339,3319
2734,1014,2794,1012,2795,1050,2736,1053
1946,571,2012,572,2010,688,1944,687
1328,2697,1399,2696,1400,2749,1329,2750
